chunk,n_hosts,n_samples,n_compositions,cum_coverage
1,50,24447,10790,0.46989
2,50,5621,2874,0.57793
3,50,3118,1604,0.63786
4,50,2145,1112,0.67909
5,50,1644,879,0.71069
6,50,1315,742,0.73596
7,50,1108,626,0.75726
8,50,930,585,0.77514
9,50,821,471,0.79092
10,50,732,435,0.80499
11,50,648,384,0.81744
12,50,581,324,0.82861
13,50,528,279,0.83876
14,50,484,287,0.84806
15,50,450,284,0.85671
16,50,403,273,0.86445
17,50,378,256,0.87172
18,50,350,247,0.87845
19,50,343,245,0.88504
20,50,300,185,0.89081
21,50,300,208,0.89657
22,50,285,191,0.90205
23,50,250,144,0.90686
24,50,250,196,0.91166
25,50,250,175,0.91647
26,50,203,152,0.92037
27,50,200,154,0.92421
28,50,200,155,0.92806
29,50,200,166,0.9319
30,50,200,130,0.93574
31,50,157,116,0.93876
32,50,150,120,0.94165
33,50,150,126,0.94453
34,50,150,121,0.94741
35,50,150,114,0.9503
36,50,150,113,0.95318
37,50,110,82,0.95529
38,50,100,80,0.95721
39,50,100,83,0.95914
40,50,100,79,0.96106
41,50,100,78,0.96298
42,50,100,79,0.9649
43,50,100,82,0.96682
44,50,100,84,0.96875
45,50,100,81,0.97067
46,50,100,84,0.97259
47,50,100,75,0.97451
48,50,78,58,0.97601
49,50,50,50,0.97697
50,50,50,50,0.97793
51,50,50,50,0.9789
52,50,50,50,0.97986
53,50,50,50,0.98082
54,50,50,50,0.98178
55,50,50,50,0.98274
56,50,50,50,0.9837
57,50,50,50,0.98466
58,50,50,50,0.98562
59,50,50,50,0.98658
60,50,50,50,0.98754
61,50,50,50,0.98851
62,50,50,50,0.98947
63,50,50,50,0.99043
64,50,50,50,0.99139
65,50,50,50,0.99235
66,50,50,50,0.99331
67,50,50,50,0.99427
68,50,50,50,0.99523
69,50,50,50,0.99619
70,50,50,50,0.99716
71,50,50,50,0.99812
72,50,50,50,0.99908
73,48,48,48,1.0
